,cell_line_id,part1_spearmanr,pca_spearmanr,racs_spearmanr
654,908144,0.8625977007110123,0.8708948758861293,0.8674539329453566
655,908145,0.9157808260236803,0.9246117711661629,0.9247021192408106
656,908443,0.8166541887120858,0.8446489861152636,0.8425280168814875
657,908455,0.9045187315018698,0.9113159211226526,0.9141765144379626
658,908459,0.8740608077497236,0.8716697226448934,0.8704195703393472
659,908460,0.8662656731816434,0.8513100315358,0.8564616285007095
660,908462,0.7789987116903428,0.7834021469828073,0.7896185196916279
661,908463,0.8947176147291683,0.9006457808028846,0.9013283614391326
662,908465,0.8552557254093807,0.8789941642879152,0.8767025636120082
663,908470,0.8840232284502305,0.8742310997921996,0.881323287962726
664,908472,0.844896734158752,0.8538841201276505,0.8521654886938043
665,908474,0.8685342081758163,0.8670588305493739,0.8664217627284322
666,908475,0.7450511784892536,0.7390236678259337,0.7372024289666218
667,908476,0.7764546166618423,0.7832740888345716,0.7819576007824383
668,909251,0.8855564280921508,0.9041133216342666,0.9048044634512109
669,909255,0.8765069293781034,0.8830721131000016,0.8826386722732916
670,909263,0.8589342529972025,0.8542925700726686,0.8588152925006934
671,909264,0.9208116278998554,0.9221888617989401,0.9203014458380806
672,909699,0.8680942303677778,0.8804147089072707,0.8778322954513935
673,909700,0.9321970474258651,0.9363528841587939,0.9365993764807757
674,909704,0.9019342097293196,0.8913597313509158,0.8928580401172517
675,909706,0.8639200156880203,0.8859485033360339,0.8855476164491912
676,909707,0.7666433041140215,0.7705730614930243,0.7704305345618049
677,909708,0.8968593355850595,0.9050701424588466,0.904930976240647
678,909709,0.8064658856708197,0.7949374031310881,0.7927541963831269
679,909716,0.8893798419609439,0.8806534690310137,0.8809967765633249
680,909718,0.7943712642135412,0.7761244109021939,0.7798212774135858
681,909719,0.8529218924594425,0.8991136825857655,0.9012268391000992
682,909721,0.9142117948711772,0.9124710324295078,0.9121502436136584
683,909724,0.8395258850915224,0.863863599352296,0.8635200220962191
684,909725,0.7794980942280322,0.7938836676418679,0.7951715697658498
685,909726,0.9018543412950735,0.9078616245443297,0.9057648188045119
686,909728,0.8992932069136792,0.9051448241840703,0.9043494587298423
687,909735,0.8638800825505781,0.8765172408931432,0.8777711110953271
688,909736,0.8772613863569914,0.8756371870794534,0.8683464935762314
689,909737,0.8899114945004363,0.8721477943156517,0.8679475105281164
690,909738,0.8701962837353396,0.8673502985687728,0.8672973084683911
691,909739,0.7775521293817086,0.7665039800764787,0.7598024960830266
692,909744,0.7620136402188319,0.7778641988351819,0.7817154736314452
693,909745,0.8749297057695086,0.8849825336852222,0.8855841831324398
694,909747,0.8785429240758977,0.8925877821287509,0.891997050161146
695,909748,0.7893557855038575,0.7883699874074414,0.792931641200478
696,909749,0.891074525864064,0.9045809045585983,0.9046689896370409
697,909750,0.9004582361258068,0.9054674390684336,0.90704450689278
698,909751,0.8956874876454367,0.8987450367443146,0.9007720502817309
699,909753,0.8941483880162886,0.8952176084151873,0.8948137075417468
700,909755,0.9026697114392873,0.9155812073995826,0.9129105297777814
701,909757,0.8110070749626904,0.8271731084839541,0.8238386618371012
702,909761,0.791733294289933,0.8107473633446186,0.810082504655886
703,909770,0.8524391243879943,0.8407883672622425,0.8428490413429982
704,909774,0.8852640509553112,0.8731847485773503,0.8750367749811975
705,909776,0.7894429766758795,0.8019566827616962,0.8036536073389051
706,909778,0.8067898227001493,0.850428364329085,0.8494864915052944
707,909779,0.9007717052478574,0.8996825042788882,0.8963514689783851
708,909780,0.8766622574207649,0.8809375027126025,0.8836675568435333
709,909781,0.8905579440741346,0.8967774610514101,0.8922020770340033
710,909784,0.743747305969297,0.7460862736647723,0.7398398863139014
711,909904,0.8843074206303791,0.8894935749141291,0.8902962779152485
712,909977,0.8498122132081685,0.8815567611994444,0.8815531888437615
713,910079,0.8224853674943059,0.8149363418440745,0.8250878433297155
714,910399,0.881625962718134,0.8930720057847148,0.893058203493334
715,910548,0.9307210532095651,0.9294351546917848,0.9297325691727198
716,910549,0.9003143068444524,0.8994712334130959,0.9001124693492336
717,910689,0.8876716898103401,0.8915883098437825,0.8931514346607274
718,910694,0.8801947041166428,0.8928770131328253,0.8933088268260069
719,910698,0.8982238531832946,0.9166965152680736,0.9223292728796412
720,910701,0.8926474484070704,0.8745234110512509,0.8714523365211703
721,910702,0.8434899269201472,0.8675175140020883,0.8670456567725958
722,910704,0.8722385777194273,0.9038639540761241,0.9052763982104479
723,910781,0.8927962951221894,0.9107748797850209,0.9110573290507268
724,910784,0.880050347300505,0.8892347293423132,0.8890698253022864
725,910849,0.816841584166467,0.8222485414816518,0.8282801589430986
726,910850,0.825523726081316,0.84024319935798,0.8484809595145143
727,910851,0.8873849603736972,0.8891184908064712,0.8897085821527745
728,910852,0.8515708262524021,0.851597618951929,0.8511647680062409
729,910853,0.8826201511674426,0.8805849204188203,0.8810904985130396
730,910900,0.8534166725853229,0.8652336464294071,0.8709235180006856
731,910903,0.9080452784410172,0.8941424505208708,0.8920136661329149
732,910904,0.9184963288706238,0.928536954139762,0.9281364391704843
733,910907,0.8495311609248427,0.8511512010130641,0.8518798434638715
734,910915,0.8384657571529405,0.8451199123371377,0.8448039238327003
735,910916,0.8980958303020719,0.9052823624477444,0.9059194111667219
736,910922,0.8958432930147128,0.9052809107785484,0.9022428720315977
737,910924,0.9082533534480574,0.9047463946321508,0.9039694514168252
738,910925,0.8872129865664162,0.8734087718293216,0.8731533477136343
739,910926,0.9299697920221248,0.941668409977085,0.9417921761266833
740,910927,0.8427657894112343,0.8533808984946344,0.8567233336831452
741,910931,0.8869849256710997,0.8904104365020815,0.8902140282835306
742,910936,0.8609876042017758,0.8725864485994579,0.872874519463677
743,910946,0.8692271202529094,0.8687707538484084,0.8703031515168552
744,910952,0.8645275074791716,0.8702911217916387,0.870445265966438
745,911905,0.8893960309732738,0.8967687755154019,0.8974100131695948
746,924100,0.908393772487193,0.904064176735063,0.9023890419626819
747,924102,0.9226672836664046,0.9134253495127157,0.9110201800423866
748,924104,0.9297621823484364,0.9305328777282836,0.930585365495356
749,924105,0.8556903750414175,0.8655049137662575,0.8651894051864045
750,924107,0.9214727413905643,0.9258162502906101,0.9259865379181637
751,924108,0.9028374975491238,0.896065303440616,0.8974391268086092
752,924109,,,
753,924111,0.9392535440096034,0.9447615200155141,0.9449149930311587
