drug_id,accuracy,mse,auc
1,0.5849056603773585,1.2434051506334174,0.589435836264589
3,0.5234159779614325,4.19385051817043,0.6317323829430367
5,0.6240601503759399,2.3277872671269546,0.7234948143064135
6,0.7125307125307125,0.8329708434006754,0.5429447135815061
9,0.5536159600997507,2.1374331692525126,0.5124224955337695
11,0.505,3.3678002010541412,0.5732153024253179
17,0.47103274559193953,0.8193400540655413,0.5953066840896492
29,0.56575682382134,2.323111876283228,0.7141350929059529
30,0.5420792079207921,1.6631254978630383,0.6836857984745309
32,0.4873096446700508,3.823082444544791,0.6326832821103854
34,0.7444717444717445,0.9748457098913061,0.6306809700226629
35,0.5911330049261084,2.3730655748728284,0.7191941678935899
37,0.6330049261083743,1.1228631360509165,0.7200105019953792
38,0.6093366093366094,1.3622894243774055,0.5914076128891572
41,0.5326633165829145,2.218446992942288,0.6039418399286002
45,0.5664160401002506,1.4210472860268093,0.5548371157352566
51,0.5681818181818182,4.356715948601874,0.7030509054470883
52,0.5843828715365239,0.700258425621365,0.6774901966074866
53,0.6115288220551378,1.5622754670156185,0.6139506629839498
54,0.5488721804511278,1.110601982852577,0.6060281483311375
55,0.5825,2.8690816751644412,0.6805147999853737
56,0.5793450881612091,3.8591041557709858,0.6808960445946747
59,0.5789473684210527,1.0227909946283258,0.6103657897713778
60,0.5477386934673367,2.4645870077374754,0.6090606481481481
62,0.58,2.700792226656054,0.6178450511420299
63,0.5325,1.1578217116384786,0.5312095114828089
64,0.5137844611528822,1.4601753397164758,0.5412984377110186
71,0.43283582089552236,2.1715516651957483,0.5293246504027967
83,0.5246753246753246,3.3632200811251387,0.5617059206744327
86,0.5037593984962406,1.9286428649037322,0.5564055881636067
87,0.54,3.196509449652699,0.6074913569202547
88,0.5561097256857855,2.1844879386504,0.5746002734639098
89,0.456575682382134,1.3887231629581929,0.5810713907326764
91,0.6799007444168734,0.3811668082327882,0.6303238758878742
94,0.6034912718204489,1.1104370281828302,0.6492660041707242
104,0.600997506234414,2.2285340238260583,0.616158202804229
106,0.6080402010050251,1.195403120956288,0.6523455877722334
110,0.5088161209068011,0.9151930100104521,0.5395933906354252
111,0.6115288220551378,1.0205598636299542,0.6341038838958181
119,0.760705289672544,1.0535112241218452,0.7136368034055728
127,0.5806451612903226,1.9518263388297068,0.6125488697007855
133,0.4988532110091743,2.710098968667959,0.5441144785831186
134,0.6077097505668935,3.4692295768982047,0.5656372774545243
135,0.4602076124567474,6.315710218035473,0.577480087609001
136,0.5567010309278351,2.291553717611911,0.5933971921271666
140,0.4852607709750567,2.469248146509288,0.5649516447192815
147,0.5849486887115165,0.7786727146695459,0.5635319931053892
150,0.7864523536165328,0.3017879030304513,0.5980626508941058
151,0.5126146788990825,1.8922081721162822,0.5787115697601631
152,0.6818181818181818,1.4819971773468574,0.7095950321241301
153,0.5986394557823129,1.5136056057516787,0.6126852481380757
154,0.5756541524459613,0.8308138433535673,0.6212856279747433
155,0.6061293984108967,2.215560746902281,0.6942673784537104
156,0.5541619156214367,1.7601716214226382,0.5637985128324964
157,0.5459704880817253,1.1359592283569344,0.5950812179235545
158,0.6705202312138728,1.15371078922146,0.5432228494005655
159,0.7377423033067275,2.5221335113376044,0.6508010433080266
163,0.5425652667423383,2.252506964369229,0.55087742983112
164,0.5965714285714285,2.646166258087302,0.5583253576490358
165,0.6583143507972665,1.899479404121026,0.6346454657100381
166,0.70261066969353,0.609841783610392,0.5795285320519983
