cell_line_id,top_10_drug_ids
906794,"104,140,180,1494,268,197,11,170,194,13"
906800,"283,1248,180,201,11,1494,226,1003,1004,14"
906803,"104,201,140,1248,135,11,1372,180,29,19"
906808,"1248,200,88,274,175,1012,257,245,19"
906812,"268,346,194,344,245,111,29"
906813,"1494,1007,1248,1003,180,1004,140,1259,208,13"
906831,"3,104,346,180,268,1248,194,11,200,8"
906834,"1248,1003,180,200,1059,136,1009,1012,1038,104"
906836,"1004,1494,140,135,268,35,346,11,180,8"
906838,"1004,1016,268,1008,1057,346,87,1166,1059,21"
906841,"1007,1494,1003,11,194,135,87,60,328,18"
906842,"1003,1004,83,140,11,180,56,133,51,100"
906844,"1248,1372,1060,180,135,133,194,197,1373,20"
906846,"283,135,1494,1003,268,140,1248,346,208,18"
906847,"1248,346,83,299,53,302,252,182,219,33"
906849,"140,1,119,157,7"
906850,24
906854,"194,200,1527,1059,157,1012,45,1199,17"
906855,"104,1248,155,268,1494,51,1004,1013,1003,34"
906856,"155,1248,51,1004,1021,1022,1003,346,1029,101"
906861,"3,1007,201,11,268,180,140,1004,1057,13"
906862,"1007,83,268,1057,1026,1166,200,1053,273,27"
906869,"283,83,194,200,268,170,157,272,184,29"
906870,"283,104,1248,51,1494,194,87,277,328,31"
906871,"1007,104,1494,1261,180,268,11,1003,140,100"
906872,"104,1248,268,1494,140,1004,180,208,1372,34"
906875,"1494,1248,1003,1004,268,1022,1259,1378,1529,27"
906877,"1248,1003,268,1494,346,283,135,140,1004,18"
907041,"201,1494,1007,140,1004,1248,1003,11,268,20"
907043,"104,1494,1248,1003,180,135,11,1004,1008,20"
907044,"1248,1494,268,346,140,11,135,87,83,20"
907050,"1007,1003,1248,268,1494,1004,1031,83,11,34"
907053,"1248,135,200,87,194,83,346,328,272,5"
907056,"1248,268,346,283,140,1004,200,208,194,32"
907063,"1248,268,180,208,346,200,53,83,273,27"
907067,"104,140,180,194,1372,135,133,11,1060,20"
907073,"1003,1031,201,104,135,1007,1494,11,140,105"
907170,"1248,1494,11,140,208,226,268,87,136,13"
907172,"104,135,180,268,1494,1026,1004,194,346,18"
907173,"56,62,45,1219,1164,1069,63,1158,17,24"
907268,"268,180,1248,208,1008,135,11,194,53,20"
907269,"1248,1494,1003,1004,1008,346,1527,1218,1059,105"
907270,"1004,1003,1494,1007,1248,268,1008,346,200,102"
907271,"104,268,11,3,140,180,194,87,133,6"
907273,"1004,1003,268,1008,1248,53,1057,1022,35,20"
907274,"268,1248,283,200,346,194,53,302,83,32"
907275,"283,1022,312,155,1248,254,277,1372,1021,22"
907277,"1494,1248,1003,1004,135,140,226,87,208,26"
907278,"1248,346,200,194,299,328,272,1049,302,27"
907279,"104,1007,268,1004,180,11,194,83,346,32"
907280,"1248,1372,1060,283,268,1008,1014,194,200,32"
907282,"104,180,268,140,11,87,346,9,60,8"
907311,"104,346,283,3,180,268,273,1372,135,124"
907313,"104,3,201,140,1007,268,11,180,133,19"
907314,"1248,268,272,1161,1164,1241,1194,269,1042,24"
907322,"1248,194,1008,200,83,175,1012,45,41,17"
907323,"104,1494,1248,1003,1004,135,1008,200,1024,5"
907391,"1004,1248,1003,140,1494,268,1008,1031,208,101"
907783,"155,51,1013,56,261,260,1008,295,1060,15"
907785,"180,200,83,86,1,41,245,11"
907786,"201,3,135,11,1494,140,268,180,87,6"
907787,"1248,346,268,283,1494,140,200,208,252,8"
907788,"268,200,194,326,272,274,223,273,299,30"
907789,"104,1248,226,1011,11,87,140,1004,208,20"
907791,"283,1248,268,180,346,208,200,87,53,8"
907792,"201,268,180,133,11,194,1166,200,83,5"
907794,"140,11,268,87,1248,60,1372,194,200,8"
907795,"1060,1372,194,346,328,1006,1014,262,45,17"
907799,"3,1248,11,180,283,1004,140,268,208,34"
908126,"155,51,201,1248,56,1013,135,180,261,26"
908135,"1003,208,272,300,127,273,274,1054,136,8"
908136,"1248,1004,346,140,268,1008,11,208,1057,8"
908141,"1248,104,283,346,1494,140,268,87,1004,1"
908142,"346,283,268,1016,1004,200,208,87,328,102"
908143,"1248,268,283,346,200,302,272,1166,273,18"
908148,"1248,180,346,1003,1022,268,254,1494,283,100"
908149,"1003,1004,268,1031,328,194,272,302,1054,105"
908150,"1031,180,1057,51,272,56,83,274,276,10"
908151,"3,201,11,140,83,194,268,87,135,124"
908159,"104,1248,1003,283,1494,11,268,1004,346,8"
908440,"1003,1031,283,180,140,1016,1004,135,194,20"
908444,"135,1248,194,346,328,268,133,182,200,13"
908445,"1003,11,1057,1026,37,6,1166,1059,136,105"
908446,"11,87,60,53,56,62,45,1161,1091,4"
908447,"201,1494,283,1003,194,272,200,133,328,13"
908448,"135,1004,1494,283,1022,1003,268,140,346,124"
