epoch,kl_loss,loss,reconstruction_loss
0,0.31859827041625977,210.291748046875,209.97314453125
1,0.08000271022319794,176.53475952148438,176.4547576904297
2,0.04815853387117386,162.9253387451172,162.87718200683594
3,0.08753328770399094,181.00320434570312,180.91566467285156
4,0.05864659696817398,158.31192016601562,158.25328063964844
5,0.4194919466972351,180.7638397216797,180.34434509277344
6,0.1440582275390625,161.1773223876953,161.03326416015625
7,0.44149714708328247,192.233642578125,191.79214477539062
8,0.13242319226264954,154.57958984375,154.44717407226562
9,0.23973076045513153,153.65382385253906,153.41409301757812
10,0.9318968057632446,157.06390380859375,156.1320037841797
11,0.25581392645835876,160.43495178222656,160.17913818359375
12,0.20876555144786835,148.15316772460938,147.94439697265625
13,0.4934311807155609,155.28878784179688,154.79534912109375
14,0.6051589250564575,177.3099822998047,176.70481872558594
15,0.4618566632270813,147.08828735351562,146.62643432617188
16,0.4495472311973572,147.21360778808594,146.76405334472656
17,0.4899422228336334,147.86911010742188,147.37916564941406
18,0.33545511960983276,136.9971466064453,136.6616973876953
19,0.5862086415290833,150.11215209960938,149.52593994140625
20,1.1762651205062866,205.51797485351562,204.34170532226562
21,0.46147575974464417,147.01498413085938,146.5535125732422
22,0.4524199068546295,135.0570526123047,134.60462951660156
23,0.7502917647361755,139.1485137939453,138.39822387695312
24,0.6850718855857849,137.77615356445312,137.09107971191406
25,0.6791566610336304,152.40818786621094,151.72903442382812
26,0.7112810015678406,134.36936950683594,133.6580810546875
27,0.9073611497879028,145.65371704101562,144.74635314941406
28,0.7658184766769409,135.1779022216797,134.41207885742188
29,0.764389157295227,142.24200439453125,141.4776153564453
0,4.953891038894653e-05,220.90969848632812,220.90965270996094
1,0.08612066507339478,270.9491271972656,270.8630065917969
2,0.5657355785369873,294.3869323730469,293.8211975097656
3,0.0006240911898203194,216.4075164794922,216.40689086914062
4,0.0006009452044963837,184.08059692382812,184.0800018310547
5,0.00615316117182374,181.9127960205078,181.90664672851562
6,0.05466625094413757,190.85133361816406,190.79666137695312
7,0.09575657546520233,175.0758819580078,174.98011779785156
8,0.0863545835018158,172.6060791015625,172.5197296142578
9,0.7047127485275269,206.53201293945312,205.82730102539062
10,0.1111915111541748,162.1064910888672,161.99530029296875
11,0.6554144620895386,188.6666259765625,188.01121520996094
12,0.22194835543632507,154.85311889648438,154.63116455078125
13,0.197139710187912,147.82606506347656,147.62892150878906
14,0.38697177171707153,171.4229278564453,171.03594970703125
15,0.24448862671852112,164.4971466064453,164.25265502929688
16,0.3624880313873291,155.8065185546875,155.44403076171875
17,0.7127823829650879,189.9150390625,189.20225524902344
18,0.7032568454742432,185.19906616210938,184.4958038330078
19,0.39713460206985474,152.9517059326172,152.5545654296875
20,0.3764847218990326,156.15357971191406,155.777099609375
21,0.30270808935165405,159.52264404296875,159.21994018554688
22,0.7207561135292053,167.05206298828125,166.33131408691406
23,0.9693536758422852,227.84237670898438,226.87301635742188
24,0.5133014917373657,177.29632568359375,176.78302001953125
25,0.35528987646102905,148.82843017578125,148.47314453125
26,0.5071064233779907,167.72755432128906,167.22044372558594
27,0.4950801730155945,152.570068359375,152.07498168945312
28,0.6878674626350403,170.9189910888672,170.2311248779297
29,0.7608413696289062,196.80630493164062,196.04547119140625
0,0.05686108022928238,232.5802764892578,232.52342224121094
1,0.04766642674803734,237.9001007080078,237.85243225097656
2,0.011211581528186798,226.8072509765625,226.79603576660156
3,0.00743508106097579,227.6102752685547,227.60284423828125
4,0.015186160802841187,228.8189239501953,228.80374145507812
5,0.5528057813644409,205.61891174316406,205.06610107421875
6,0.0639725998044014,173.98390197753906,173.919921875
7,0.04322376847267151,171.9495086669922,171.90628051757812
8,0.07146809250116348,173.72463989257812,173.65316772460938
9,0.15690064430236816,159.70449829101562,159.54759216308594
10,0.2047845870256424,162.22218322753906,162.01739501953125
11,0.1552276909351349,159.50035095214844,159.34512329101562
12,0.3600504398345947,160.15785217285156,159.7978057861328
13,0.3483613431453705,153.70753479003906,153.3591766357422
14,0.3105956017971039,148.875244140625,148.5646514892578
15,0.3693515956401825,159.56007385253906,159.1907196044922
16,0.5094842910766602,154.59014892578125,154.08065795898438
17,0.41492676734924316,164.6002960205078,164.18536376953125
18,0.8617430925369263,173.9632568359375,173.1015167236328
19,0.4584561884403229,156.93588256835938,156.47743225097656
20,0.5156078338623047,152.64627075195312,152.1306610107422
21,0.45323997735977173,157.04464721679688,156.59140014648438
22,1.0989553928375244,239.092529296875,237.9935760498047
23,0.4233883023262024,149.22105407714844,148.79766845703125
24,0.6139373183250427,156.59494018554688,155.9810028076172
