epoch,accuracy,loss,val_accuracy,val_loss
0,0.14217253029346466,2.6274654865264893,0.36000001430511475,2.435497283935547
1,0.17891374230384827,2.4917409420013428,0.15000000596046448,2.4151785373687744
2,0.23003195226192474,2.450592041015625,0.18000000715255737,2.388914108276367
3,0.21246007084846497,2.432420253753662,0.15000000596046448,2.376291275024414
4,0.24440895020961761,2.3852555751800537,0.3199999928474426,2.2955808639526367
5,0.2827475965023041,2.3185315132141113,0.3199999928474426,2.281481981277466
6,0.3083067238330841,2.2979185581207275,0.18000000715255737,2.291811466217041
7,0.30990415811538696,2.2041804790496826,0.33000001311302185,2.1624748706817627
8,0.3785942494869232,2.098353624343872,0.5099999904632568,1.8879573345184326
9,0.42492014169692993,1.9658377170562744,0.5099999904632568,1.7109360694885254
10,0.49520766735076904,1.8226392269134521,0.3499999940395355,1.8741902112960815
11,0.5271565318107605,1.6710208654403687,0.550000011920929,1.5241626501083374
12,0.5958466529846191,1.4643688201904297,0.6499999761581421,1.2442941665649414
13,0.669329047203064,1.2986570596694946,0.7300000190734863,1.0083277225494385
14,0.7060703039169312,1.1530448198318481,0.7699999809265137,0.979245126247406
15,0.7492012977600098,1.0299042463302612,0.75,0.8343599438667297
16,0.7699680328369141,0.9432340860366821,0.7400000095367432,0.8168444633483887
17,0.7891373634338379,0.8519527912139893,0.8600000143051147,0.5832598805427551
18,0.830670952796936,0.7501727938652039,0.8700000047683716,0.552965521812439
19,0.8546326160430908,0.6778988838195801,0.8600000143051147,0.49931687116622925
20,0.8562300205230713,0.6245085597038269,0.8999999761581421,0.4818361699581146
21,0.884984016418457,0.5603199601173401,0.8999999761581421,0.3707086443901062
22,0.8801916837692261,0.5415467619895935,0.9200000166893005,0.3604375422000885
23,0.9073482155799866,0.4890283942222595,0.9399999976158142,0.28953516483306885
24,0.9137380123138428,0.4309350252151489,0.949999988079071,0.2508249580860138
25,0.9073482155799866,0.3798551857471466,0.9300000071525574,0.29743990302085876
26,0.9073482155799866,0.3810327649116516,0.9599999785423279,0.22732262313365936
27,0.9392971396446228,0.3183569610118866,0.9399999976158142,0.27520552277565
28,0.9329073429107666,0.3353794813156128,0.9100000262260437,0.4664149582386017
29,0.9472843408584595,0.30596140027046204,0.9599999785423279,0.18628862500190735
30,0.9440894722938538,0.283164381980896,0.9599999785423279,0.1820058375597
31,0.9552715420722961,0.2523290514945984,0.9599999785423279,0.17097972333431244
32,0.9456868767738342,0.2428976446390152,0.949999988079071,0.15370707213878632
33,0.9408945441246033,0.23091907799243927,0.9599999785423279,0.17371287941932678
34,0.9632588028907776,0.19992564618587494,0.9700000286102295,0.13567419350147247
35,0.9472843408584595,0.1894698441028595,0.9700000286102295,0.17281033098697662
36,0.9520766735076904,0.21281540393829346,0.9700000286102295,0.12148476392030716
37,0.9568690061569214,0.18906953930854797,0.9599999785423279,0.1330278515815735
38,0.9584664702415466,0.1769033670425415,0.9700000286102295,0.1213126927614212
39,0.9632588028907776,0.15062864124774933,0.949999988079071,0.2011125236749649
40,0.9664536714553833,0.1735295206308365,0.9599999785423279,0.10720682889223099
41,0.9648562073707581,0.12870295345783234,0.9700000286102295,0.10965973138809204
42,0.9664536714553833,0.13067583739757538,0.9599999785423279,0.12028177082538605
43,0.9760383367538452,0.12204252183437347,0.8299999833106995,0.548856794834137
44,0.9648562073707581,0.16472502052783966,0.9599999785423279,0.14806118607521057
45,0.9728434681892395,0.11323217302560806,0.9599999785423279,0.19213958084583282
46,0.9648562073707581,0.14933720231056213,0.9599999785423279,0.12093625962734222
47,0.9712460041046143,0.10453100502490997,0.9599999785423279,0.11432912945747375
48,0.9728434681892395,0.11703934520483017,0.8899999856948853,0.38180965185165405
49,0.969648540019989,0.12210743874311447,0.9599999785423279,0.12102342396974564
50,0.9776358008384705,0.10747023671865463,0.9700000286102295,0.09141156822443008
51,0.9680511355400085,0.10407169163227081,0.9599999785423279,0.11553430557250977
52,0.9792332053184509,0.10228948295116425,0.9599999785423279,0.13685749471187592
53,0.9712460041046143,0.10397376865148544,0.9599999785423279,0.12021274864673615
54,0.9776358008384705,0.09043542295694351,0.9599999785423279,0.12285129725933075
55,0.9728434681892395,0.10361268371343613,0.9599999785423279,0.1272970736026764
56,0.97444087266922,0.08134355396032333,0.949999988079071,0.09719900786876678
57,0.9792332053184509,0.07324535399675369,0.9599999785423279,0.0932757556438446
58,0.9776358008384705,0.07606851309537888,0.9599999785423279,0.12245485931634903
59,0.9760383367538452,0.07437670975923538,0.9599999785423279,0.10878593474626541
60,0.9760383367538452,0.09181598573923111,0.9599999785423279,0.11327638477087021
