epoch,accuracy,loss,val_accuracy,val_loss
0,0.36102235317230225,1.2580302953720093,0.4300000071525574,1.2432944774627686
1,0.39776358008384705,1.202783465385437,0.4300000071525574,1.1915239095687866
2,0.42811501026153564,1.1192774772644043,0.3199999928474426,1.119388461112976
3,0.5223641991615295,1.018707513809204,0.6200000047683716,0.9604544043540955
4,0.6837060451507568,0.8889006972312927,0.47999998927116394,0.7985401153564453
5,0.7731629610061646,0.737764298915863,0.9399999976158142,0.621937096118927
6,0.8578274846076965,0.5780595541000366,0.949999988079071,0.46230971813201904
7,0.8865814805030823,0.44936689734458923,0.8700000047683716,0.4565035104751587
8,0.9009584784507751,0.3546602725982666,0.9900000095367432,0.21963149309158325
9,0.9329073429107666,0.25051626563072205,0.7599999904632568,0.4883185625076294
10,0.9536741375923157,0.20828837156295776,0.9800000190734863,0.141384556889534
